Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Edit PostCode with Invalid Input,Chrome 104.0.5112.102,,,2022-08-27 16:06:10,2022-08-27 16:08:37,2m - 27.591s,FAILED
,,,,,,,
Test Cases/Service Provider -Internal TMS/Integrate Internal - Invalid Edit SP/4_Edit Company Postcode_Inv,Chrome 104.0.5112.102,,,2022-08-27 16:06:10,2022-08-27 16:06:50,39.598s,FAILED
"callTestCase(findTestCase(""PreCondition/SP""), [""validData"":""""], CONTINUE_ON_FAILURE)",Chrome 104.0.5112.102,,,2022-08-27 16:06:11,2022-08-27 16:06:22,11.395s,PASSED
"callTestCase(findTestCase(""PreCondition/Edit-Valid Param/Search ID""), [:], CONTINUE_ON_FAILURE)",Chrome 104.0.5112.102,,,2022-08-27 16:06:22,2022-08-27 16:06:44,22.165s,PASSED
"sendKeys(findTestObject(""Add SP with valid data/Page_/AddSP_inputPostalcode""), Keys.chord(CONTROL, ""a""))",Chrome 104.0.5112.102,,,2022-08-27 16:06:44,2022-08-27 16:06:44,0.167s,PASSED
"sendKeys(findTestObject(""Add SP with valid data/Page_/AddSP_inputPostalcode""), Keys.chord(BACK_SPACE))",Chrome 104.0.5112.102,,,2022-08-27 16:06:44,2022-08-27 16:06:44,0.130s,PASSED
"setText(findTestObject(""Add SP with valid data/Page_/AddSP_inputPostalcode""), PostCode)",Chrome 104.0.5112.102,,,2022-08-27 16:06:44,2022-08-27 16:06:45,0.182s,PASSED
"scrollToPosition(10, 10)",Chrome 104.0.5112.102,,,2022-08-27 16:06:45,2022-08-27 16:06:45,0.026s,PASSED
delay(3),Chrome 104.0.5112.102,,,2022-08-27 16:06:45,2022-08-27 16:06:48,3.010s,PASSED
"click(findTestObject(""Edit SP/Button_SaveChanges""))",Chrome 104.0.5112.102,,,2022-08-27 16:06:48,2022-08-27 16:06:48,0.293s,PASSED
"if (PostCode == """")",Chrome 104.0.5112.102,,,2022-08-27 16:06:48,2022-08-27 16:06:48,0.001s,PASSED
else,Chrome 104.0.5112.102,,,2022-08-27 16:06:48,2022-08-27 16:06:50,1.763s,FAILED
,,,,,,,
Test Cases/Service Provider -Internal TMS/Integrate Internal - Invalid Edit SP/4_Edit Company Postcode_Inv,Chrome 104.0.5112.102,,,2022-08-27 16:06:50,2022-08-27 16:07:27,37.583s,FAILED
"callTestCase(findTestCase(""PreCondition/SP""), [""validData"":""""], CONTINUE_ON_FAILURE)",Chrome 104.0.5112.102,,,2022-08-27 16:06:50,2022-08-27 16:07:01,11.442s,PASSED
"callTestCase(findTestCase(""PreCondition/Edit-Valid Param/Search ID""), [:], CONTINUE_ON_FAILURE)",Chrome 104.0.5112.102,,,2022-08-27 16:07:01,2022-08-27 16:07:22,20.798s,PASSED
