Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AddNewSP,Chrome 103.0.5060.134,,,2022-07-28 10:22:38,2022-07-28 10:24:39,2m - 1.086s,PASSED
,,,,,,,
Test Cases/Service Provider -Internal TMS/Integrate Internal - Add New Service Provider/Add New SP with valid data,Chrome 103.0.5060.134,,,2022-07-28 10:22:38,2022-07-28 10:23:11,32.524s,PASSED
"callTestCase(findTestCase(""Service Provider -Internal TMS/PreCondition/SP""), [""validData"":""""], STOP_ON_FAILURE)",Chrome 103.0.5060.134,,,2022-07-28 10:22:39,2022-07-28 10:22:52,12.923s,PASSED
"click(findTestObject(""Add SP with valid data/Page_/FirstButton_addSP""))",Chrome 103.0.5060.134,,,2022-07-28 10:22:52,2022-07-28 10:22:53,1.346s,PASSED
"setText(findTestObject(""Add SP with valid data/Page_/AddSP_Input company name""), companyNameSP)",Chrome 103.0.5060.134,,,2022-07-28 10:22:53,2022-07-28 10:22:54,1.176s,PASSED
"setText(findTestObject(""Object Repository/Add SP with valid data/Page_/addSP_input Email""), companyEmailSP)",Chrome 103.0.5060.134,,,2022-07-28 10:22:54,2022-07-28 10:22:55,0.791s,PASSED
"setText(findTestObject(""Object Repository/Add SP with valid data/Page_/AddSP_companyPhone""), companyPhoneSP)",Chrome 103.0.5060.134,,,2022-07-28 10:22:55,2022-07-28 10:22:56,0.736s,PASSED
"click(findTestObject(""Object Repository/Add SP with valid data/Page_/choose country""))",Chrome 103.0.5060.134,,,2022-07-28 10:22:56,2022-07-28 10:22:57,0.706s,PASSED
"click(findTestObject(""Object Repository/Add SP with valid data/Page_/li_Indonesia""))",Chrome 103.0.5060.134,,,2022-07-28 10:22:57,2022-07-28 10:22:57,0.699s,PASSED
"click(findTestObject(""Object Repository/Add SP with valid data/Page_/choose province""))",Chrome 103.0.5060.134,,,2022-07-28 10:22:57,2022-07-28 10:22:58,0.962s,PASSED
"click(findTestObject(""Object Repository/Add SP with valid data/Page_/li_SUMATERA UTARA""))",Chrome 103.0.5060.134,,,2022-07-28 10:22:58,2022-07-28 10:22:59,0.623s,PASSED
"click(findTestObject(""Object Repository/Add SP with valid data/Page_/choose city""))",Chrome 103.0.5060.134,,,2022-07-28 10:22:59,2022-07-28 10:23:00,1.041s,PASSED
"click(findTestObject(""Object Repository/Add SP with valid data/Page_/li_MEDAN""))",Chrome 103.0.5060.134,,,2022-07-28 10:23:00,2022-07-28 10:23:01,0.594s,PASSED
"setText(findTestObject(""Object Repository/Add SP with valid data/Page_/Add SP_input_SIUP_businessLicense""), siupBusinessLicenseSP)",Chrome 103.0.5060.134,,,2022-07-28 10:23:01,2022-07-28 10:23:02,1.216s,PASSED
"setText(findTestObject(""Object Repository/Add SP with valid data/Page_/AddSP_input_NPWP_taxId""), NPWP_SP)",Chrome 103.0.5060.134,,,2022-07-28 10:23:02,2022-07-28 10:23:02,0.738s,PASSED
"click(findTestObject(""Object Repository/Add SP with valid data/Page_/span_PKP""))",Chrome 103.0.5060.134,,,2022-07-28 10:23:02,2022-07-28 10:23:03,0.435s,PASSED
"click(findTestObject(""Object Repository/Add SP with valid data/Page_/input_Type Of Service_PrivateSwitchBase-inp_a246e6""))",Chrome 103.0.5060.134,,,2022-07-28 10:23:03,2022-07-28 10:23:03,0.483s,PASSED
"uploadFile(findTestObject(""Add SP with valid data/Page_/inputPhoto""), lokasiFIle)",Chrome 103.0.5060.134,,,2022-07-28 10:23:03,2022-07-28 10:23:04,0.500s,PASSED
"click(findTestObject(""Add SP with valid data/Page_/div_Contact Personarrow_drop_down""))",Chrome 103.0.5060.134,,,2022-07-28 10:23:04,2022-07-28 10:23:04,0.591s,PASSED
"setText(findTestObject(""Object Repository/Add SP with valid data/Page_/AddSP_CP_input name""), NamaCP)",Chrome 103.0.5060.134,,,2022-07-28 10:23:04,2022-07-28 10:23:05,0.753s,PASSED
"setText(findTestObject(""Object Repository/Add SP with valid data/Page_/AddSp_CP_input Email""), EmailCP)",Chrome 103.0.5060.134,,,2022-07-28 10:23:05,2022-07-28 10:23:06,0.737s,PASSED
"setText(findTestObject(""Object Repository/Add SP with valid data/Page_/AddSP_CP_input_Phone Number""), PhoneNumberCP)",Chrome 103.0.5060.134,,,2022-07-28 10:23:06,2022-07-28 10:23:07,0.718s,PASSED
"click(findTestObject(""Add SP with valid data/Page_/div_Company dropdown password""))",Chrome 103.0.5060.134,,,2022-07-28 10:23:07,2022-07-28 10:23:07,0.409s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Add SP with valid data/Page_/AddSP_input_Password""), passwordSP)",Chrome 103.0.5060.134,,,2022-07-28 10:23:07,2022-07-28 10:23:08,0.493s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Add SP with valid data/Page_/AddSP_input_Confirmation Password""), confirmationPasswordSP)",Chrome 103.0.5060.134,,,2022-07-28 10:23:08,2022-07-28 10:23:08,0.519s,PASSED
"click(findTestObject(""Object Repository/Add SP with valid data/Page_/last button_add SP""))",Chrome 103.0.5060.134,,,2022-07-28 10:23:08,2022-07-28 10:23:09,0.529s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Add SP with valid data/Page_/main_addAdd Service ProvidersearchCityCityS_3f5b59""), 0)",Chrome 103.0.5060.134,,,2022-07-28 10:23:09,2022-07-28 10:23:11,2.300s,PASSED
,,,,,,,
Test Cases/Service Provider -Internal TMS/Integrate Internal - Add New Service Provider/Add New SP with valid data,Chrome 103.0.5060.134,,,2022-07-28 10:23:11,2022-07-28 10:23:40,29.433s,PASSED
"callTestCase(findTestCase(""Service Provider -Internal TMS/PreCondition/SP""), [""validData"":""""], STOP_ON_FAILURE)",Chrome 103.0.5060.134,,,2022-07-28 10:23:11,2022-07-28 10:23:22,10.692s,PASSED
"click(findTestObject(""Add SP with valid data/Page_/FirstButton_addSP""))",Chrome 103.0.5060.134,,,2022-07-28 10:23:22,2022-07-28 10:23:23,1.365s,PASSED
"setText(findTestObject(""Add SP with valid data/Page_/AddSP_Input company name""), companyNameSP)",Chrome 103.0.5060.134,,,2022-07-28 10:23:23,2022-07-28 10:23:24,1.205s,PASSED
"setText(findTestObject(""Object Repository/Add SP with valid data/Page_/addSP_input Email""), companyEmailSP)",Chrome 103.0.5060.134,,,2022-07-28 10:23:24,2022-07-28 10:23:25,0.787s,PASSED
