Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
closeBrowser(),Chrome 103.0.5060.134,,,2022-07-28 16:05:11,2022-07-28 16:05:11,0.824s,PASSED
,,,,,,,
Test Cases/Driver - Internal TMS/Integrate Internal - Get Detail Driver/Get Detail Driver,Chrome 103.0.5060.134,,,2022-07-28 16:05:12,2022-07-28 16:06:05,53.506s,PASSED
"callTestCase(findTestCase(""PreCondition/Driver""), [:], STOP_ON_FAILURE)",Chrome 103.0.5060.134,,,2022-07-28 16:05:12,2022-07-28 16:05:54,42.004s,PASSED
"setText(findTestObject(""Get List Driver/Page_/DRiver_FilterSearch""), validDriverID)",Chrome 103.0.5060.134,,,2022-07-28 16:05:54,2022-07-28 16:05:57,3.521s,PASSED
"verifyElementPresent(findTestObject(""Get List Driver/Page_/span_arrow_forward""), 0)",Chrome 103.0.5060.134,,,2022-07-28 16:05:57,2022-07-28 16:05:59,1.816s,PASSED
"click(findTestObject(""Get List Driver/Page_/span_arrow_forward""))",Chrome 103.0.5060.134,,,2022-07-28 16:05:59,2022-07-28 16:06:00,0.594s,PASSED
"verifyElementPresent(findTestObject(""Detail Driver/BodyDetailDriver""), 0)",Chrome 103.0.5060.134,,,2022-07-28 16:06:00,2022-07-28 16:06:02,2.895s,PASSED
"verifyElementClickable(findTestObject(""Detail Driver/BackButton""))",Chrome 103.0.5060.134,,,2022-07-28 16:06:02,2022-07-28 16:06:03,0.566s,PASSED
"click(findTestObject(""Detail Driver/BackButton""))",Chrome 103.0.5060.134,,,2022-07-28 16:06:03,2022-07-28 16:06:04,0.854s,PASSED
closeBrowser(),Chrome 103.0.5060.134,,,2022-07-28 16:06:04,2022-07-28 16:06:05,1.234s,PASSED
,,,,,,,
Test Cases/Driver - Internal TMS/Integrate Internal - Get Detail Driver/Get Detail Driver,Chrome 103.0.5060.134,,,2022-07-28 16:06:05,2022-07-28 16:06:27,21.497s,PASSED
"callTestCase(findTestCase(""PreCondition/Driver""), [:], STOP_ON_FAILURE)",Chrome 103.0.5060.134,,,2022-07-28 16:06:05,2022-07-28 16:06:20,14.515s,PASSED
"setText(findTestObject(""Get List Driver/Page_/DRiver_FilterSearch""), validDriverID)",Chrome 103.0.5060.134,,,2022-07-28 16:06:20,2022-07-28 16:06:22,2.020s,PASSED
"verifyElementPresent(findTestObject(""Get List Driver/Page_/span_arrow_forward""), 0)",Chrome 103.0.5060.134,,,2022-07-28 16:06:22,2022-07-28 16:06:22,0.467s,PASSED
"click(findTestObject(""Get List Driver/Page_/span_arrow_forward""))",Chrome 103.0.5060.134,,,2022-07-28 16:06:22,2022-07-28 16:06:23,1.290s,PASSED
"verifyElementPresent(findTestObject(""Detail Driver/BodyDetailDriver""), 0)",Chrome 103.0.5060.134,,,2022-07-28 16:06:23,2022-07-28 16:06:25,1.679s,PASSED
"verifyElementClickable(findTestObject(""Detail Driver/BackButton""))",Chrome 103.0.5060.134,,,2022-07-28 16:06:25,2022-07-28 16:06:25,0.324s,PASSED
"click(findTestObject(""Detail Driver/BackButton""))",Chrome 103.0.5060.134,,,2022-07-28 16:06:25,2022-07-28 16:06:26,0.413s,PASSED
closeBrowser(),Chrome 103.0.5060.134,,,2022-07-28 16:06:26,2022-07-28 16:06:27,0.768s,PASSED
,,,,,,,
Test Cases/Driver - Internal TMS/Integrate Internal - Get Detail Driver/Get Detail Driver,Chrome 103.0.5060.134,,,2022-07-28 16:06:27,2022-07-28 16:06:45,18.140s,PASSED
"callTestCase(findTestCase(""PreCondition/Driver""), [:], STOP_ON_FAILURE)",Chrome 103.0.5060.134,,,2022-07-28 16:06:27,2022-07-28 16:06:37,9.983s,PASSED
"setText(findTestObject(""Get List Driver/Page_/DRiver_FilterSearch""), validDriverID)",Chrome 103.0.5060.134,,,2022-07-28 16:06:37,2022-07-28 16:06:39,2.103s,PASSED
"verifyElementPresent(findTestObject(""Get List Driver/Page_/span_arrow_forward""), 0)",Chrome 103.0.5060.134,,,2022-07-28 16:06:39,2022-07-28 16:06:39,0.440s,PASSED
