Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Edit PostCode with Invalid Input,Chrome 104.0.5112.102,,,2022-08-27 19:53:27,2022-08-27 19:57:32,4m - 4.282s,PASSED
,,,,,,,
Test Cases/Service Provider -Internal TMS/Integrate Internal - Invalid Edit SP/4_Edit Company Postcode_Inv,Chrome 104.0.5112.102,,,2022-08-27 19:53:28,2022-08-27 19:54:24,56.127s,PASSED
"callTestCase(findTestCase(""PreCondition/SP""), [""validData"":""""], CONTINUE_ON_FAILURE)",Chrome 104.0.5112.102,,,2022-08-27 19:53:29,2022-08-27 19:53:56,26.894s,PASSED
"callTestCase(findTestCase(""PreCondition/Edit-Valid Param/Search ID""), [:], CONTINUE_ON_FAILURE)",Chrome 104.0.5112.102,,,2022-08-27 19:53:56,2022-08-27 19:54:19,23.212s,PASSED
"sendKeys(findTestObject(""Add SP with valid data/Page_/AddSP_inputPostalcode""), Keys.chord(CONTROL, ""a""))",Chrome 104.0.5112.102,,,2022-08-27 19:54:19,2022-08-27 19:54:19,0.415s,PASSED
"sendKeys(findTestObject(""Add SP with valid data/Page_/AddSP_inputPostalcode""), Keys.chord(BACK_SPACE))",Chrome 104.0.5112.102,,,2022-08-27 19:54:19,2022-08-27 19:54:20,0.267s,PASSED
"setText(findTestObject(""Add SP with valid data/Page_/AddSP_inputPostalcode""), PostCode)",Chrome 104.0.5112.102,,,2022-08-27 19:54:20,2022-08-27 19:54:20,0.500s,PASSED
"scrollToPosition(10, 10)",Chrome 104.0.5112.102,,,2022-08-27 19:54:20,2022-08-27 19:54:20,0.098s,PASSED
delay(3),Chrome 104.0.5112.102,,,2022-08-27 19:54:20,2022-08-27 19:54:23,3.008s,PASSED
"click(findTestObject(""Edit SP/Button_SaveChanges""))",Chrome 104.0.5112.102,,,2022-08-27 19:54:23,2022-08-27 19:54:24,1.074s,PASSED
"if (PostCode == """")",Chrome 104.0.5112.102,,,2022-08-27 19:54:24,2022-08-27 19:54:24,0.001s,PASSED
,,,,,,,
Test Cases/Service Provider -Internal TMS/Integrate Internal - Invalid Edit SP/4_Edit Company Postcode_Inv,Chrome 104.0.5112.102,,,2022-08-27 19:54:24,2022-08-27 19:55:10,45.417s,PASSED
"callTestCase(findTestCase(""PreCondition/SP""), [""validData"":""""], CONTINUE_ON_FAILURE)",Chrome 104.0.5112.102,,,2022-08-27 19:54:24,2022-08-27 19:54:39,14.157s,PASSED
"callTestCase(findTestCase(""PreCondition/Edit-Valid Param/Search ID""), [:], CONTINUE_ON_FAILURE)",Chrome 104.0.5112.102,,,2022-08-27 19:54:39,2022-08-27 19:55:02,23.342s,PASSED
"sendKeys(findTestObject(""Add SP with valid data/Page_/AddSP_inputPostalcode""), Keys.chord(CONTROL, ""a""))",Chrome 104.0.5112.102,,,2022-08-27 19:55:02,2022-08-27 19:55:02,0.470s,PASSED
"sendKeys(findTestObject(""Add SP with valid data/Page_/AddSP_inputPostalcode""), Keys.chord(BACK_SPACE))",Chrome 104.0.5112.102,,,2022-08-27 19:55:02,2022-08-27 19:55:03,0.296s,PASSED
"setText(findTestObject(""Add SP with valid data/Page_/AddSP_inputPostalcode""), PostCode)",Chrome 104.0.5112.102,,,2022-08-27 19:55:03,2022-08-27 19:55:03,0.492s,PASSED
"scrollToPosition(10, 10)",Chrome 104.0.5112.102,,,2022-08-27 19:55:03,2022-08-27 19:55:03,0.050s,PASSED
delay(3),Chrome 104.0.5112.102,,,2022-08-27 19:55:03,2022-08-27 19:55:06,3.010s,PASSED
"click(findTestObject(""Edit SP/Button_SaveChanges""))",Chrome 104.0.5112.102,,,2022-08-27 19:55:06,2022-08-27 19:55:07,1.015s,PASSED
"if (PostCode == """")",Chrome 104.0.5112.102,,,2022-08-27 19:55:07,2022-08-27 19:55:07,0.000s,PASSED
else if (PostCode.length() < 5 || PostCode.length() < 5),Chrome 104.0.5112.102,,,2022-08-27 19:55:07,2022-08-27 19:55:10,2.389s,PASSED
,,,,,,,
Test Cases/Service Provider -Internal TMS/Integrate Internal - Invalid Edit SP/4_Edit Company Postcode_Inv,Chrome 104.0.5112.102,,,2022-08-27 19:55:10,2022-08-27 19:56:01,51.314s,PASSED
"callTestCase(findTestCase(""PreCondition/SP""), [""validData"":""""], CONTINUE_ON_FAILURE)",Chrome 104.0.5112.102,,,2022-08-27 19:55:10,2022-08-27 19:55:30,20.307s,PASSED
